abs_ts,a,b,c,n_used
0,0.23341569164919496,0.006810972279436382,0.1400388989807868,8
100,0.23468936986375968,-0.00760829848144417,0.15054701359442121,9
200,0.23339530580370263,0.010590542391107138,0.13717390139910263,8
300,0.23403828152755532,0.006327002334351451,0.14003110656539894,8
400,0.2333982027008557,0.01059066988005962,0.13717235311243342,8
500,0.23414961442859578,0.0018259914242913845,0.14337483919256122,8
600,0.2341901594561089,0.0041135411126459,0.1416265717427231,8
700,0.23419166318881826,0.004113288785746416,0.14162596734046534,8
800,0.2341388641752198,0.004720036036602809,0.1411720827471325,8
900,0.23424738031971906,0.005545444644787856,0.14048470226633902,8
1000,0.2324896556539064,0.014304844646332604,0.1349016332780308,8
1100,0.23482032790075713,-0.00741297159125618,0.15031783051706138,9
1200,0.2341990472884184,0.004113245185641078,0.1416214573108489,8
1300,0.23478814990267227,0.003805849923246515,0.14145886807758634,8
1400,0.23414755385898126,0.004719795629018279,0.14116704931186294,8
1500,0.23425616061138949,0.0055455476005967915,0.14047938609330426,8
1600,0.2352857113972219,0.008449107329532376,0.137382571509339,9
1700,0.23516636568136995,0.002459406942535123,0.14227033374123993,8
1800,0.23426050518290067,0.005545485653504339,0.14047692498009504,8
1900,0.23417381357590084,0.008550841122134752,0.13822664765905346,8
2000,0.23479844207629397,0.0038061717781274983,0.1414525750287476,8
2100,0.23417675942156083,0.008550197815434084,0.13822552727522414,8
2200,0.23417819513734195,0.008550420090931255,0.13822438119021577,8
2300,0.23488423235109068,-0.007383838945070323,0.15023363235802364,9
2400,0.23358770805857876,0.008234505371440283,0.1388584524761568,8
2500,0.23416367392249818,0.004719750760834381,0.1411573985303861,8
2600,0.2346630747033216,-0.0071605449441111465,0.15025987071757105,9
2700,0.23427367845221692,0.005545147400933574,0.1404693048477936,8
2800,0.2344845525428322,0.006433799485791623,0.13964294341143732,8
2900,0.23073084108077083,0.020954291720231805,0.13096269936289684,8
3000,0.23534277241896298,-0.007004275423878099,0.14971195849268829,9
3100,0.23427960714576815,0.005545325333010092,0.14046549188612623,8
3200,0.23497457879792064,-0.007190032664121482,0.1500301952705101,9
3300,0.23531390336148283,0.008402514987123789,0.13739838578714544,9
3400,0.23537445081851452,-0.0069745320736930095,0.1496479155073822,9
3500,0.235375949903414,-0.006974462707145757,0.14964702733434937,9
3600,0.23503267337169323,-0.006997347184370397,0.14984719293242954,9
3700,0.23458993784677154,0.007279082228310285,0.138945319274183,8
3800,0.24324575724714115,-0.023846031566171984,0.155810467346694,10
3900,0.234730877495442,0.008312640860453257,0.1376703293991731,9
4000,0.23489950041835292,0.0033247360393795456,0.14163153567972486,8
4100,0.2337801497096459,-0.007935502519866697,0.15096865460631462,9
4200,0.23399851676435346,0.0008039165242581007,0.14395159521250656,8
4300,0.23272673842501013,0.00505273957569215,0.1415193771264821,8
4400,0.23332629608546282,0.007757610017576256,0.13911860453753497,8
4500,0.23359104647203602,0.003421631915937904,0.1422048037606626,8
4600,0.23259818669112053,0.007954854741793223,0.13939351846257192,8
4700,0.23356214689214994,0.0057641762322601115,0.14047142362895612,8
4800,0.23330211624145616,0.004835226905632528,0.14132843509776918,8
4900,0.23418818684748977,0.005530928896999763,0.14025984039376224,8
5000,0.2326551681977294,0.008826945315164187,0.1387059960259536,8
5100,0.23430082444791983,-0.00021088276943469453,0.1445228023231664,8
5200,0.23472075197645562,-0.007971278454724898,0.15032350007944675,9
5300,0.23482950370307293,0.0016510220724339645,0.14279925779769279,8
5400,0.23501614431719242,-0.007651546315363829,0.14995401212701553,9
5500,0.23430666093903726,-0.00021078838769606595,0.14451895835173598,8
5600,0.235019003526074,-0.007651553655212132,0.14995227903184943,9
5700,0.23502035046258704,-0.007651632451376676,0.1499513334982752,9
5800,0.2310067707259094,0.01436753816456801,0.13553978263306568,8
5900,0.23289758580244377,0.008247475357942192,0.13899359544471912,8
6000,0.23289901793511278,0.00824769420150509,0.13899243469863098,8
6100,0.23501860610788414,-0.00788509648538824,0.15008609920200353,9
6200,0.23499815958715575,-0.0076307597667151315,0.14992349314941278,9
6300,0.23477470214584875,0.0024956215383362046,0.14217108266629344,8
6400,0.23382878771031634,0.004781273268481058,0.14104354021017187,8
6500,0.23396216320095323,0.005657149534077518,0.14027783418315729,8
6600,0.23506095411961733,0.004355478288196455,0.14060444032772043,8
6700,0.23469952599679514,0.00550906712976382,0.13996464228990285,8
6800,0.23533798322602548,-0.007244221288162833,0.14947219009810075,9
6900,0.2341147478377902,0.004538990052868044,0.14104642578700524,8
7000,0.23439459888996134,0.004295746434620946,0.14105388944231595,8
7100,0.23534237439411476,-0.007244275298901302,0.14946938501021673,9
7200,0.23499862681970848,-0.007468829508588626,0.14981999479404015,9
7300,0.23360025615566068,0.005764667497741187,0.1404480147459412,8
7400,0.2350453070241033,-0.007651596273332133,0.14993548236789844,9
7500,0.23486187416256307,0.0016510977611530295,0.14277954998447184,8
7600,0.2345126423757092,0.002197383311442497,0.14255092437339098,8
7700,0.23445694482326565,0.0030145802805748275,0.14198391246036252,8
7800,0.2344654304338139,0.004564320859527407,0.14081456072251572,8
7900,0.23524112339705525,-0.007126775244204367,0.1494406391967347,9
8000,0.2331110450618117,0.003685097755791378,0.14215474845967316,8
8100,0.23493286399775531,0.0006901657991900376,0.14329979016000974,8
8200,0.23453392391459713,0.003030881817781222,0.14179998172321112,8
8300,0.2341404452689378,-0.0008996358067947373,0.14482147175702897,8
8400,0.23252865090314181,0.004601710411578452,0.1416705900648445,8
8500,0.23410128037300987,-0.00025659898508093086,0.14435923828294184,8
8600,0.23159021129555815,0.008719640008194512,0.13915112786183587,8
8700,0.23350170711797,0.0008706776032356134,0.14388256103468822,8
8800,0.23835211858969546,0.0031560209027996795,0.13742150413925402,10
8900,0.23397807928427633,0.004422609995056303,0.1410719413709606,8
9000,0.23494598364813635,0.0006894571731815238,0.14329243396970762,8
9100,0.23809538671537905,0.003172040462298268,0.13753625953828522,10
9200,0.23075852916050127,0.015302602818695672,0.13487375778620944,8
9300,0.2431674806767956,-0.019764259512719266,0.15164623257344165,10
9400,0.23484011755986614,-0.007515616720665123,0.1498046890594455,9
9500,0.23497791934267698,-0.0072165804883710894,0.14965679942433796,9
9600,0.2343778165645437,0.006668007342042715,0.1392971659625364,8
9700,0.23462909455068598,0.003443407746631306,0.1415439167749084,8
