timestamp;buyer;seller;symbol;currency;price;quantity
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;10
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12006.0;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;10
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;10
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;2
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;10
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;2
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;10
900;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;1
1000;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9999.0;3
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;10
1000;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12007.0;2
1200;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;12011.0;3
3100;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10001.0;6
3400;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;6
5100;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9998.0;4
5600;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9999.0;8
6400;;;INTARIAN_PEPPER_ROOT;XIRECS;12000.0;4
6500;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9998.0;4
7100;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;9
7500;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10001.0;5
9900;;;ASH_COATED_OSMIUM;XIRECS;10004.0;5
10100;;;INTARIAN_PEPPER_ROOT;XIRECS;12017.0;6
10600;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;10
12300;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;6
14600;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10001.0;4
16800;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;7
17600;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;4
18000;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;8
19200;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;2
19300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;7
19400;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;9
19500;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;10
20200;;;INTARIAN_PEPPER_ROOT;XIRECS;12016.0;5
20300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;2
21900;;;INTARIAN_PEPPER_ROOT;XIRECS;12015.0;3
22000;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;6
22500;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;5
22800;;;INTARIAN_PEPPER_ROOT;XIRECS;12029.0;4
23000;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;4
24300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;4
26400;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9999.0;10
26500;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9999.0;5
27300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;10
28200;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;5
28800;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;10
28800;;;INTARIAN_PEPPER_ROOT;XIRECS;12035.0;4
29000;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;6
31700;;;INTARIAN_PEPPER_ROOT;XIRECS;12035.0;4
33800;;;ASH_COATED_OSMIUM;XIRECS;9991.0;10
34000;;;INTARIAN_PEPPER_ROOT;XIRECS;12027.0;6
36200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;3
36900;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9999.0;3
37600;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;9
38500;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;9
39300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;10
40400;;;INTARIAN_PEPPER_ROOT;XIRECS;12034.0;6
41300;;;INTARIAN_PEPPER_ROOT;XIRECS;12035.0;7
41700;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;8
43100;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10002.0;2
43300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10004.0;6
43600;;;INTARIAN_PEPPER_ROOT;XIRECS;12039.0;4
44700;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10002.0;2
44800;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9999.0;4
45300;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9998.0;6
47200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;2
47700;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;5
47700;;;INTARIAN_PEPPER_ROOT;XIRECS;12044.0;4
48200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;2
48400;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;8
49100;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10000.0;10
49400;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;5
49600;;;INTARIAN_PEPPER_ROOT;XIRECS;12043.0;3
49800;;;INTARIAN_PEPPER_ROOT;XIRECS;12046.0;3
51300;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;9
52400;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10000.0;2
53200;;;INTARIAN_PEPPER_ROOT;XIRECS;12060.0;4
53700;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9999.0;7
54000;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;6
54300;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10003.0;4
54800;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10002.0;10
56000;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9997.0;2
56400;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9997.0;9
57000;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9998.0;6
57200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10003.0;5
57300;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9994.0;9
57800;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;10001.0;8
59000;;;ASH_COATED_OSMIUM;XIRECS;9987.0;6
59600;;;ASH_COATED_OSMIUM;XIRECS;10002.0;7
61200;;;ASH_COATED_OSMIUM;XIRECS;9989.0;4
62600;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;10004.0;5
65600;;;ASH_COATED_OSMIUM;XIRECS;9995.0;4
65700;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9998.0;7
65700;;;INTARIAN_PEPPER_ROOT;XIRECS;12062.0;8
65800;;;ASH_COATED_OSMIUM;XIRECS;10005.0;2
